,bed,bath,acre_lot,zip_code,house_size,prev_sold_date,price,prev_sold_year,latitude,longitude,county
300,6.0,4.0,0.09,7002.0,1406.0,2021-12-31,599999.0,2021,40.662338,-74.110275,1
301,3.0,2.0,0.06,7002.0,1500.0,2010-06-11,269000.0,2010,40.662338,-74.110275,1
302,3.0,2.0,0.11,7002.0,1500.0,2019-04-15,365000.0,2019,40.662338,-74.110275,1
303,5.0,2.0,0.06,7002.0,1500.0,2011-09-29,593200.0,2011,40.662338,-74.110275,1
304,7.0,3.0,0.07,7002.0,1500.0,1993-10-15,799999.0,1993,40.662338,-74.110275,1
311,6.0,3.0,0.05,7002.0,1500.0,2003-04-05,549000.0,2003,40.662338,-74.110275,1
315,6.0,2.0,0.06,7002.0,1500.0,2022-01-21,599000.0,2022,40.662338,-74.110275,1
316,6.0,2.0,0.07,7002.0,1500.0,2021-12-13,599000.0,2021,40.662338,-74.110275,1
319,4.0,4.0,0.06,7002.0,1500.0,2016-12-13,679000.0,2016,40.662338,-74.110275,1
322,6.0,3.0,0.08,7002.0,1500.0,1995-04-11,749000.0,1995,40.662338,-74.110275,1
323,4.0,4.0,0.08,7002.0,1500.0,1998-09-10,585000.0,1998,40.662338,-74.110275,1
325,5.0,3.0,0.11,7002.0,1500.0,2003-07-15,649000.0,2003,40.662338,-74.110275,1
326,3.0,3.0,0.11,7002.0,1874.0,1998-02-04,775000.0,1998,40.662338,-74.110275,1
328,6.0,3.0,0.06,7002.0,1500.0,2003-04-05,549000.0,2003,40.662338,-74.110275,1
329,3.0,2.0,0.03,7002.0,1500.0,2001-01-09,550000.0,2001,40.662338,-74.110275,1
331,5.0,3.0,0.11,7002.0,1500.0,2003-07-15,625000.0,2003,40.662338,-74.110275,1
332,3.0,2.0,0.06,7002.0,1500.0,1987-07-23,549900.0,1987,40.662338,-74.110275,1
333,7.0,4.0,0.05,7002.0,1500.0,2021-07-15,750000.0,2021,40.662338,-74.110275,1
335,2.0,2.0,0.14,7002.0,1500.0,2021-04-28,799000.0,2021,40.662338,-74.110275,1
342,2.0,4.0,0.28,7003.0,1400.0,2015-08-17,370000.0,2015,40.809128,-74.187155,11
343,2.0,1.0,0.06,7003.0,1500.0,2021-12-07,299000.0,2021,40.809128,-74.187155,11
344,3.0,2.0,0.09,7003.0,1500.0,2015-03-20,499000.0,2015,40.809128,-74.187155,11
345,3.0,3.0,0.11,7003.0,1500.0,1992-09-24,420000.0,1992,40.809128,-74.187155,11
346,3.0,3.0,0.25,7003.0,1500.0,2021-04-27,579000.0,2021,40.809128,-74.187155,11
348,3.0,2.0,0.09,7003.0,1500.0,2021-07-23,575000.0,2021,40.809128,-74.187155,11
349,6.0,3.0,0.08,7003.0,3395.0,1994-06-17,610000.0,1994,40.809128,-74.187155,11
350,2.0,1.0,0.12,7003.0,1112.0,2003-10-29,215000.0,2003,40.809128,-74.187155,11
351,3.0,2.0,0.13,7003.0,1500.0,2006-08-28,479000.0,2006,40.809128,-74.187155,11
352,3.0,3.0,0.22,7003.0,1500.0,2021-08-27,410000.0,2021,40.809128,-74.187155,11
353,1.0,1.0,0.11,7003.0,595.0,2002-12-20,169961.0,2002,40.809128,-74.187155,11
355,2.0,2.0,0.09,7003.0,1500.0,2013-05-30,379888.0,2013,40.809128,-74.187155,11
357,3.0,2.0,0.18,7003.0,1500.0,1962-08-26,419000.0,1962,40.809128,-74.187155,11
358,3.0,2.0,0.11,7003.0,1500.0,2002-09-11,489000.0,2002,40.809128,-74.187155,11
359,3.0,3.0,0.07,7003.0,1500.0,2017-11-21,439999.0,2017,40.809128,-74.187155,11
360,3.0,2.0,0.09,7003.0,1500.0,2018-07-20,400000.0,2018,40.809128,-74.187155,11
361,5.0,2.0,0.11,7003.0,1500.0,2006-02-21,589000.0,2006,40.809128,-74.187155,11
363,4.0,3.0,0.1,7003.0,1500.0,2008-09-15,517000.0,2008,40.809128,-74.187155,11
364,6.0,3.0,0.11,7003.0,1500.0,2021-08-30,599000.0,2021,40.809128,-74.187155,11
365,3.0,2.0,0.12,7003.0,1500.0,2017-10-06,524000.0,2017,40.809128,-74.187155,11
366,3.0,2.0,0.17,7003.0,1500.0,1976-07-16,499000.0,1976,40.809128,-74.187155,11
367,3.0,1.0,0.08,7003.0,1500.0,1989-10-24,350000.0,1989,40.809128,-74.187155,11
368,2.0,2.0,0.07,7003.0,1500.0,2015-10-16,425000.0,2015,40.809128,-74.187155,11
369,5.0,3.0,0.13,7003.0,2371.0,2018-06-12,749000.0,2018,40.809128,-74.187155,11
370,4.0,3.0,0.11,7003.0,1500.0,2015-08-24,589000.0,2015,40.809128,-74.187155,11
371,6.0,3.0,0.07,7003.0,1500.0,2016-10-05,449900.0,2016,40.809128,-74.187155,11
